"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990625_003.tif","Page","Page 3","3","ark:/21198/z1gc1c2v","ark:/21198/z1mt3215","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mt3215"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990627_001.tif","Page","Page 1","1","ark:/21198/z1bm0md1","ark:/21198/z1h2296d","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h2296d"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990627_002.tif","Page","Page 2","2","ark:/21198/z1bm0md1","ark:/21198/z1c91jf7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c91jf7"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990627_003.tif","Page","Page 3","3","ark:/21198/z1bm0md1","ark:/21198/z17j0srz","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17j0srz"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990628_001.tif","Page","Page 1","1","ark:/21198/z16t9vrn","ark:/21198/z13s023x","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13s023x"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990628_002.tif","Page","Page 2","2","ark:/21198/z16t9vrn","ark:/21198/z10380px","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10380px"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990628_003.tif","Page","Page 3","3","ark:/21198/z16t9vrn","ark:/21198/z1vb7h90","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb7h90"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990629_001.tif","Page","Page 1","1","ark:/21198/z13293zq","ark:/21198/z1qk6rhc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk6rhc"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990629_002.tif","Page","Page 2","2","ark:/21198/z13293zq","ark:/21198/z1kt60rk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kt60rk"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990629_003.tif","Page","Page 3","3","ark:/21198/z13293zq","ark:/21198/z1g2581k","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g2581k"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990630_001.tif","Page","Page 1","1","ark:/21198/z1z98mdj","ark:/21198/z1b94hcr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b94hcr"
