File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890830_002.tif,Page,Page 2,38,2,ark:/21198/z1f54zmt,ark:/21198/z1d821w6,ark:/21198/z1jt2fbr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2fbr,1889,1889-08-30 (vol. 01 | no. 65)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890831_001.tif,Page,Page 1,39,1,ark:/21198/z1f54zmt,ark:/21198/z18h195w,ark:/21198/z1f50d2h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50d2h,1889,1889-08-31 (vol. 01 | no. 66)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890831_002.tif,Page,Page 2,40,2,ark:/21198/z1f54zmt,ark:/21198/z18h195w,ark:/21198/z19c9n9s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9n9s,1889,1889-08-31 (vol. 01 | no. 66)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890902_001.tif,Page,Page 1,41,1,ark:/21198/z1f54zmt,ark:/21198/z14t97tg,ark:/21198/z15m8wmh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8wmh,1889,1889-09-02 (vol. 01 | no. 67)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890902_002.tif,Page,Page 2,42,2,ark:/21198/z1f54zmt,ark:/21198/z14t97tg,ark:/21198/z11v84w5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v84w5,1889,1889-09-02 (vol. 01 | no. 67)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890903_001.tif,Page,Page 1,43,1,ark:/21198/z1f54zmt,ark:/21198/z1128h21,ark:/21198/z1x37nd6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37nd6,1889,1889-09-03 (vol. 01 | no. 68)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890903_002.tif,Page,Page 2,44,2,ark:/21198/z1f54zmt,ark:/21198/z1128h21,ark:/21198/z1sb6wn1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6wn1,1889,1889-09-03 (vol. 01 | no. 68)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890903_003.tif,Page,Page 3,45,3,ark:/21198/z1f54zmt,ark:/21198/z1128h21,ark:/21198/z1nk64z4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk64z4,1889,1889-09-03 (vol. 01 | no. 68)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890904_001.tif,Page,Page 1,46,1,ark:/21198/z1f54zmt,ark:/21198/z1w980m5,ark:/21198/z1hx43k7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx43k7,1889,1889-09-04 (vol. 01 | no. 69)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890904_002.tif,Page,Page 2,47,2,ark:/21198/z1f54zmt,ark:/21198/z1w980m5,ark:/21198/z1d53btc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53btc,1889,1889-09-04 (vol. 01 | no. 69)
