File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_008.tif,Page,Page 8,12,8,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z10k5426,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k5426,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_001.tif,Page,Page 1,13,1,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1vt4mkh,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4mkh,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_002.tif,Page,Page 2,14,2,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1r23vv3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23vv3,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_003.tif,Page,Page 3,15,3,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1m9343q,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m9343q,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_004.tif,Page,Page 4,16,4,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1gn12qd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn12qd,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_005.tif,Page,Page 5,17,5,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1bw0b20,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw0b20,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_006.tif,Page,Page 6,18,6,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1739kcg,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739kcg,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_007.tif,Page,Page 7,19,7,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z13b8tm9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8tm9,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_008.tif,Page,Page 8,20,8,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1zk8b4d,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk8b4d,1957,1957-10-24 (vol. 01 | no. 09)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19571024_009.tif,Page,Page 9,21,9,open,ark:/21198/z1c56f5x,ark:/21198/z1fz04t0,ark:/21198/z1tt7kdp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7kdp,1957,1957-10-24 (vol. 01 | no. 09)
