File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590123_012.tif,Page,Page 12,12,ark:/21198/z1f790s2,ark:/21198/z1z920pd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z920pd
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590123_013.tif,Page,Page 13,13,ark:/21198/z1f790s2,ark:/21198/z1tj17ws,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj17ws
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590123_014.tif,Page,Page 14,14,ark:/21198/z1f790s2,ark:/21198/z1ps0h5g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0h5g
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590123_015.tif,Page,Page 15,15,ark:/21198/z1f790s2,ark:/21198/z1k38fvt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38fvt
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19590123_016.tif,Page,Page 16,16,ark:/21198/z1f790s2,ark:/21198/z1fb7q5z,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7q5z
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_001.tif,Page,Page 1,1,ark:/21198/z19g882r,ark:/21198/z19k6zh4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6zh4
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_002.tif,Page,Page 2,2,ark:/21198/z19g882r,ark:/21198/z15t66ss,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t66ss
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_003.tif,Page,Page 3,3,ark:/21198/z19g882r,ark:/21198/z1225g1b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225g1b
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_004.tif,Page,Page 4,4,ark:/21198/z19g882r,ark:/21198/z1x94zjn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94zjn
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_005.tif,Page,Page 5,5,ark:/21198/z19g882r,ark:/21198/z1sj46t9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj46t9
Masters/othermasters/DEPrevolucion/images/ihc_revolucion_19600805_006.tif,Page,Page 6,6,ark:/21198/z19g882r,ark:/21198/z1nw25fd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw25fd
