File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2,media.height,media.width
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_011.tif,Page,Page 11,11,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1h732m0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h732m0,1958,1958-05-19,1298,2020
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_012.tif,Page,Page 12,12,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z1cg29xq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg29xq,1958,1958-05-19,1386,2029
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_013.tif,Page,Page 13,13,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z17q1k89,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1k89,1958,1958-05-19,1395,2120
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_014.tif,Page,Page 14,14,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z13z0th4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z0th4,1958,1958-05-19,1405,2031
Masters/othermasters/DEPaccion/images/ihc_accion_19580519_015.tif,Page,Page 15,15,1,ark:/21198/z1g47b1v,ark:/21198/z1bc6k77,ark:/21198/z10602tj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10602tj,1958,1958-05-19,1389,1070
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_001.tif,Page,Page 1,16,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1vh88qk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh88qk,1958,1958-05-26,1363,1052
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_002.tif,Page,Page 2,17,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1qr7j08,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7j08,1958,1958-05-26,1366,2036
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_003.tif,Page,Page 3,18,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1m06s8v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m06s8v,1958,1958-05-26,1335,2046
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_004.tif,Page,Page 4,19,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1g761jh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g761jh,1958,1958-05-26,1373,2002
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_005.tif,Page,Page 5,20,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z1bg58v7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg58v7,1958,1958-05-26,1363,2020
Masters/othermasters/DEPaccion/images/ihc_accion_19580526_006.tif,Page,Page 6,21,2,ark:/21198/z1g47b1v,ark:/21198/z16m5tg2,ark:/21198/z16q4j21,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4j21,1958,1958-05-26,1345,2039
