File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901110_003.tif,Page,Page 3,11,3,ark:/21198/z1dn67nv,ark:/21198/z1wq26cc,ark:/21198/z18s6sgc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6sgc,1890,1890-11-10
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901110_004.tif,Page,Page 4,12,4,ark:/21198/z1dn67nv,ark:/21198/z1wq26cc,ark:/21198/z15161ss,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15161ss,1890,1890-11-10
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901129_001.tif,Page,Page 1,13,1,ark:/21198/z1dn67nv,ark:/21198/z1n60pzp,ark:/21198/z118593x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz118593x,1890,1890-11-29
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901129_002.tif,Page,Page 2,14,2,ark:/21198/z1dn67nv,ark:/21198/z1n60pzp,ark:/21198/z1wh4sm7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4sm7,1890,1890-11-29
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901129_003.tif,Page,Page 3,15,3,ark:/21198/z1dn67nv,ark:/21198/z1n60pzp,ark:/21198/z1rr41t0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr41t0,1890,1890-11-29
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18901129_004.tif,Page,Page 4,16,4,ark:/21198/z1dn67nv,ark:/21198/z1n60pzp,ark:/21198/z1n03930,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03930,1890,1890-11-29
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910321_001.tif,Page,Page 1,17,1,ark:/21198/z1dn67nv,ark:/21198/z1hd9z88,ark:/21198/z1hb17sk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb17sk,1891,"1891-03-21 (año 02, número 12)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910321_002.tif,Page,Page 2,18,2,ark:/21198/z1dn67nv,ark:/21198/z1hd9z88,ark:/21198/z1ck0h1t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck0h1t,1891,"1891-03-21 (año 02, número 12)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910321_003.tif,Page,Page 3,19,3,ark:/21198/z1dn67nv,ark:/21198/z1hd9z88,ark:/21198/z17s9r9j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9r9j,1891,"1891-03-21 (año 02, número 12)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910321_004.tif,Page,Page 4,20,4,ark:/21198/z1dn67nv,ark:/21198/z1hd9z88,ark:/21198/z14190nd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14190nd,1891,"1891-03-21 (año 02, número 12)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910328_001.tif,Page,Page 1,21,1,ark:/21198/z1dn67nv,ark:/21198/z1cn96hg,ark:/21198/z10887w7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10887w7,1891,"1891-03-28 (año 02, número 13)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910328_002.tif,Page,Page 2,22,2,ark:/21198/z1dn67nv,ark:/21198/z1cn96hg,ark:/21198/z1vh7rfd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7rfd,1891,"1891-03-28 (año 02, número 13)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910328_003.tif,Page,Page 3,23,3,ark:/21198/z1dn67nv,ark:/21198/z1cn96hg,ark:/21198/z1qr70pm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr70pm,1891,"1891-03-28 (año 02, número 13)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910328_004.tif,Page,Page 4,24,4,ark:/21198/z1dn67nv,ark:/21198/z1cn96hg,ark:/21198/z1m34z9n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34z9n,1891,"1891-03-28 (año 02, número 13)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910404_001.tif,Page,Page 1,25,1,ark:/21198/z1dn67nv,ark:/21198/z17w8fr9,ark:/21198/z1gb46k9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb46k9,1891,"1891-04-04 (año 02, número 14)"
Masters/othermasters/DEPclaridad/images/ihc_laclaridad_18910404_002.tif,Page,Page 2,26,2,ark:/21198/z1dn67nv,ark:/21198/z17w8fr9,ark:/21198/z1bk3fw1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3fw1,1891,"1891-04-04 (año 02, número 14)"
