File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,IIIF Manifest URL,Range.1,Range.2
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800121_002.tif,Page,Page 2,26,2,ark:/21198/z16t3b1r,ark:/21198/z1dc0r66,ark:/21198/z1sx93x3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx93x3,,1880,1880-01-21 (vol. 02 | no. 16)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800122_001.tif,Page,Page 1,27,1,ark:/21198/z16t3b1r,ark:/21198/z18p8pvs,ark:/21198/z1p58c63,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58c63,,1880,1880-01-22 (vol. 02 | no. 17)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800122_002.tif,Page,Page 2,28,2,ark:/21198/z16t3b1r,ark:/21198/z18p8pvs,ark:/21198/z1jd7mgc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7mgc,,1880,1880-01-22 (vol. 02 | no. 17)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800123_001.tif,Page,Page 1,29,1,ark:/21198/z16t3b1r,ark:/21198/z14x7z5x,ark:/21198/z1dn6vrn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6vrn,,1880,1880-01-23 (vol. 02 | no. 18)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800123_002.tif,Page,Page 2,30,2,ark:/21198/z16t3b1r,ark:/21198/z14x7z5x,ark:/21198/z18w641q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w641q,,1880,1880-01-23 (vol. 02 | no. 18)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800124_001.tif,Page,Page 1,31,1,ark:/21198/z16t3b1r,ark:/21198/z11576fw,ark:/21198/z1545cbr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545cbr,,1880,1880-01-24 (vol. 02 | no. 19)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800124_002.tif,Page,Page 2,32,2,ark:/21198/z16t3b1r,ark:/21198/z11576fw,ark:/21198/z11g39zf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39zf,,1880,1880-01-24 (vol. 02 | no. 19)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800126_001.tif,Page,Page 1,33,1,ark:/21198/z16t3b1r,ark:/21198/z1wd6pxr,ark:/21198/z1wq2tj2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2tj2,,1880,1880-01-26 (vol. 02 | no. 20)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800126_002.tif,Page,Page 2,34,2,ark:/21198/z16t3b1r,ark:/21198/z1wd6pxr,ark:/21198/z1rz22rt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz22rt,,1880,1880-01-26 (vol. 02 | no. 20)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800127_001.tif,Page,Page 1,35,1,ark:/21198/z16t3b1r,ark:/21198/z1rn5z50,ark:/21198/z1n61b3q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n61b3q,,1880,1880-01-27 (vol. 02 | no. 21)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800127_002.tif,Page,Page 2,36,2,ark:/21198/z16t3b1r,ark:/21198/z1rn5z50,ark:/21198/z1hf0kdf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0kdf,,1880,1880-01-27 (vol. 02 | no. 21)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800128_001.tif,Page,Page 1,37,1,ark:/21198/z16t3b1r,ark:/21198/z1mw56fn,ark:/21198/z1cn9tnq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9tnq,,1880,1880-01-28 (vol. 02 | no. 22)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800128_002.tif,Page,Page 2,38,2,ark:/21198/z16t3b1r,ark:/21198/z1mw56fn,ark:/21198/z17w92xc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w92xc,,1880,1880-01-28 (vol. 02 | no. 22)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800129_001.tif,Page,Page 1,39,1,ark:/21198/z16t3b1r,ark:/21198/z1h44ftk,ark:/21198/z14771mp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14771mp,,1880,1880-01-29 (vol. 02 | no. 23)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800129_002.tif,Page,Page 2,40,2,ark:/21198/z16t3b1r,ark:/21198/z1h44ftk,ark:/21198/z10g68wz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g68wz,,1880,1880-01-29 (vol. 02 | no. 23)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800130_001.tif,Page,Page 1,41,1,ark:/21198/z16t3b1r,ark:/21198/z1cg2dd7,ark:/21198/z1vq5sbs,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5sbs,,1880,1880-01-30 (vol. 02 | no. 24)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800130_002.tif,Page,Page 2,42,2,ark:/21198/z16t3b1r,ark:/21198/z1cg2dd7,ark:/21198/z1qz51nw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz51nw,,1880,1880-01-30 (vol. 02 | no. 24)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800131_001.tif,Page,Page 1,43,1,ark:/21198/z16t3b1r,ark:/21198/z17q1nsv,ark:/21198/z1m6490s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m6490s,,1880,1880-01-31 (vol. 02 | no. 25)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800131_002.tif,Page,Page 2,44,2,ark:/21198/z16t3b1r,ark:/21198/z17q1nsv,ark:/21198/z1gf3j65,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3j65,,1880,1880-01-31 (vol. 02 | no. 25)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800202_001.tif,Page,Page 1,45,1,ark:/21198/z16t3b1r,ark:/21198/z13z0x13,ark:/21198/z1bp2sjb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2sjb,,1880,1880-02-02 (vol. 02 | no. 26)
Masters/othermasters/DEPladiscusion/images/1880/ihc_ladiscusion_18800202_002.tif,Page,Page 2,46,2,ark:/21198/z16t3b1r,ark:/21198/z13z0x13,ark:/21198/z1710r5r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710r5r,,1880,1880-02-02 (vol. 02 | no. 26)
