File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_002.tif,Page,Page 2,36,2,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z17w96pw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w96pw,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_003.tif,Page,Page 3,37,3,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1448fzg,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1448fzg,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_004.tif,Page,Page 4,38,4,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z10c7q75,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7q75,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_005.tif,Page,Page 5,39,5,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1vm76rv,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm76rv,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_006.tif,Page,Page 6,40,6,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1qv6g1j,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv6g1j,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_007.tif,Page,Page 7,41,7,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1m35q77,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35q77,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_008.tif,Page,Page 8,42,8,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1gb4zjz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4zjz,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_009.tif,Page,Page 9,43,9,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1bp2x9v,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2x9v,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_010.tif,Page,Page 10,44,10,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z16x25j2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x25j2,1958,1958-06 (vol. 01 | no. 05)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_011.tif,Page,Page 11,45,11,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1351dtn,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1351dtn,1958,1958-06 (vol. 01 | no. 05)
