File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820906_001.tif,Page,Page 1,11,1,ark:/21198/z15b2qw0,ark:/21198/z14b5ps2,ark:/21198/z19c9kv4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9kv4,1882-09-06
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820906_002.tif,Page,Page 2,12,2,ark:/21198/z15b2qw0,ark:/21198/z14b5ps2,ark:/21198/z15q7jj4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7jj4,1882-09-06
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820907_001.tif,Page,Page 1,13,1,ark:/21198/z15b2qw0,ark:/21198/z10k4z2r,ark:/21198/z11z6svv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6svv,1882-09-07
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820907_002.tif,Page,Page 2,14,2,ark:/21198/z15b2qw0,ark:/21198/z10k4z2r,ark:/21198/z1x669dq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x669dq,1882-09-07
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820908_001.tif,Page,Page 1,15,1,ark:/21198/z15b2qw0,ark:/21198/z1vt4fkf,ark:/21198/z1sf5jp0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5jp0,1882-09-08
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820908_002.tif,Page,Page 2,16,2,ark:/21198/z15b2qw0,ark:/21198/z1vt4fkf,ark:/21198/z1np4swc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4swc,1882-09-08
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820909_001.tif,Page,Page 1,17,1,ark:/21198/z15b2qw0,ark:/21198/z1r23ptk,ark:/21198/z1hx4240,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx4240,1882-09-09
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820909_002.tif,Page,Page 2,18,2,ark:/21198/z15b2qw0,ark:/21198/z1r23ptk,ark:/21198/z1d539c4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539c4,1882-09-09
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820911_001.tif,Page,Page 1,19,1,ark:/21198/z15b2qw0,ark:/21198/z1m92z2t,ark:/21198/z18h1841,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h1841,1882-09-11
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820911_002.tif,Page,Page 2,20,2,ark:/21198/z15b2qw0,ark:/21198/z1m92z2t,ark:/21198/z14r0hcv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0hcv,1882-09-11
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820912_001.tif,Page,Page 1,21,1,ark:/21198/z15b2qw0,ark:/21198/z1gn0wqz,ark:/21198/z10z9rrx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9rrx,1882-09-12
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820912_002.tif,Page,Page 2,22,2,ark:/21198/z15b2qw0,ark:/21198/z1gn0wqz,ark:/21198/z1w6987w,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w6987w,1882-09-12
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820913_001.tif,Page,Page 1,23,1,ark:/21198/z15b2qw0,ark:/21198/z1bw052x,ark:/21198/z1rf8hh5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8hh5,1882-09-13
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820913_002.tif,Page,Page 2,24,2,ark:/21198/z15b2qw0,ark:/21198/z1bw052x,ark:/21198/z1mp7rqj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7rqj,1882-09-13
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820914_001.tif,Page,Page 1,25,1,ark:/21198/z15b2qw0,ark:/21198/z1739dcd,ark:/21198/z1gx710m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx710m,1882-09-14
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820914_002.tif,Page,Page 2,26,2,ark:/21198/z15b2qw0,ark:/21198/z1739dcd,ark:/21198/z1c84zr1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84zr1,1882-09-14
