File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350120_001.tif,Page,Page 1,1,1,ark:/21198/z1xd3r0n,ark:/21198/z1nw27h4,ark:/21198/z1h15rbc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15rbc,1935-01-20 (año 01 | num. 01)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350203_011.tif,Page,Page 11,109,11,ark:/21198/z1xd3r0n,ark:/21198/z13z0x0n,ark:/21198/z1j98wrm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98wrm,1935-02-03 (año 01 | num. 13)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350203_012.tif,Page,Page 12,110,12,ark:/21198/z1xd3r0n,ark:/21198/z13z0x0n,ark:/21198/z1dn6vb8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6vb8,1935-02-03 (año 01 | num. 13)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_001.tif,Page,Page 1,111,1,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z18w63nc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w63nc,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_002.tif,Page,Page 2,112,2,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1545bxz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bxz,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_003.tif,Page,Page 3,113,3,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z11c4m56,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4m56,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_004.tif,Page,Page 4,114,4,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1wm43pw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm43pw,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_005.tif,Page,Page 5,115,5,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1rv3c2x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv3c2x,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_006.tif,Page,Page 6,116,6,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1n619px,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n619px,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_007.tif,Page,Page 7,117,7,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1hf0k1h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0k1h,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350205_008.tif,Page,Page 8,118,8,ark:/21198/z1xd3r0n,ark:/21198/z106058m,ark:/21198/z1cn9t97,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9t97,1935-02-05 (año 01 | num. 14)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_001.tif,Page,Page 1,119,1,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z17w92jf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w92jf,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_002.tif,Page,Page 2,120,2,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z14489sk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14489sk,1935-02-06 (año 01 | num. 15)
Masters/othermasters/DEPpalabra/images/ihc_palabra_19350206_003.tif,Page,Page 3,121,3,ark:/21198/z1xd3r0n,ark:/21198/z1vd9nqg,ark:/21198/z10c7k28,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7k28,1935-02-06 (año 01 | num. 15)
