File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_041.tif,Page,Page 41,41,41,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1cz59sw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz59sw,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_042.tif,Page,Page 42,42,42,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1864k1f,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864k1f,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_043.tif,Page,Page 43,43,43,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z14f3t88,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3t88,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_044.tif,Page,Page 44,44,44,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z10p32kc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p32kc,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_045.tif,Page,Page 45,45,45,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1vx2k4j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2k4j,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_046.tif,Page,Page 46,46,46,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1r51tb7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51tb7,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_047.tif,Page,Page 47,47,47,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1md12mw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md12mw,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_048.tif,Page,Page 48,48,48,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1gq91c7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq91c7,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_049.tif,Page,Page 49,49,49,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1bz88m2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz88m2,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_050.tif,Page,Page 50,50,50,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1767hwn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767hwn,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_051.tif,Page,Page 51,51,51,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z13f6s77,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6s77,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_052.tif,Page,Page 52,52,52,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1zp68qg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp68qg,1942,1942-05/1942-06 (año 01 | num. 01)
